Reported Date,Monitor ID,Monitor UUID,Monitor Name,Monitor Tags,Media ID,Media Name,Playback Date,Media Duration,Media Tags
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826667,cliente24_v03,2025-07-31 18:54:17.729343+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826738,cliente25_v03,2025-07-31 18:54:23.743588+00:00,5400,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826769,cliente26_v03,2025-07-31 18:54:29.665196+00:00,5280,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826795,cliente27_v03,2025-07-31 18:54:36.327027+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826837,cliente28_v03,2025-07-31 18:54:42.821524+00:00,5840,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826905,cliente29_v03,2025-07-31 18:54:49.385559+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826957,cliente30_v03,2025-07-31 18:54:56.100716+00:00,6070,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24825360,cliente1_v04,2025-07-31 18:55:02.607995+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24825409,cliente2_v04,2025-07-31 18:55:08.813383+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24825747,cliente3_v04,2025-07-31 18:55:15.019291+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24825781,cliente4_v04,2025-07-31 18:55:21.224963+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24825805,cliente5_v04,2025-07-31 18:55:27.430733+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24825874,cliente6_v04,2025-07-31 18:55:33.662384+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24825898,cliente7_v04,2025-07-31 18:55:39.872697+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24825983,cliente9_v04,2025-07-31 18:55:46.079817+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826003,cliente10_v04,2025-07-31 18:55:52.289333+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826033,cliente11_v04,2025-07-31 18:55:58.495358+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826063,cliente12_v04,2025-07-31 18:56:05.835782+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826167,cliente13_v04,2025-07-31 18:56:11.397070+00:00,4920,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826213,cliente14_v04,2025-07-31 18:56:18.135202+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826258,cliente15_v04,2025-07-31 18:56:24.768253+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826296,cliente16_v04,2025-07-31 18:56:30.472507+00:00,5000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826358,cliente17_v04,2025-07-31 18:56:37.105713+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826393,cliente18_v04,2025-07-31 18:56:43.734513+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826437,cliente19_v04,2025-07-31 18:56:49.348183+00:00,4920,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826464,cliente20_v04,2025-07-31 18:56:56.064745+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826553,cliente21_v04,2025-07-31 18:57:01.935998+00:00,5160,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826575,cliente22_v04,2025-07-31 18:57:08.622696+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826632,cliente23_v04,2025-07-31 18:57:14.361940+00:00,5040,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826664,cliente24_v04,2025-07-31 18:57:21.017996+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826739,cliente25_v04,2025-07-31 18:57:27.027507+00:00,5400,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826210,cliente14_v06,2025-07-31 19:02:30.817992+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826771,cliente26_v04,2025-07-31 18:57:33.030102+00:00,5280,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826797,cliente27_v04,2025-07-31 18:57:39.746475+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826838,cliente28_v04,2025-07-31 18:57:46.186812+00:00,5840,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826903,cliente29_v04,2025-07-31 18:57:52.804323+00:00,6000,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24826955,cliente30_v04,2025-07-31 18:57:59.518887+00:00,6070,[]
2025-08-01 23:31:29.607044+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,,24825358,cliente1_v05,2025-07-31 18:58:06.034512+00:00,6000,[]
